category	explanation	question	opt0	opt1	opt2	opt3	gold
WORDPLAY	I'm going to give you clues for some 5-letter words. Switch the 2nd and 4th letters to make a new word that answers the second clue.	Trail left by a snail / Grin	slime, smile	stale, slate	carol, coral	betas, Bates	0
WORDPLAY	I'm going to give you clues for some 5-letter words. Switch the 2nd and 4th letters to make a new word that answers the second clue.	Male singing voice / Cartridge contents	resin, risen	linen, Lenin	snipe, spine	tenor, toner	3
WORDPLAY	I'm going to give you clues for some 5-letter words. Switch the 2nd and 4th letters to make a new word that answers the second clue.	Marsh bird / Backbone	snipe, spine	abode, adobe	linen, Lenin	resin, risen	0
WORDPLAY	I'm going to give you clues for some 5-letter words. Switch the 2nd and 4th letters to make a new word that answers the second clue.	Group of experts / Word before code or colony	slime, smile	panel, penal	betas, Bates	stale, slate	1
WORDPLAY	I'm going to give you clues for some 5-letter words. Switch the 2nd and 4th letters to make a new word that answers the second clue.	Temperamental sorts / ___ Cup	stale, slate	divas, Davis	linen, Lenin	panel, penal	1
WORDPLAY	I'm going to give you clues for some 5-letter words. Switch the 2nd and 4th letters to make a new word that answers the second clue.	Home / Material for a Southwest home	abode, adobe	stale, slate	betas, Bates	psalm, plasm	0
OTHER	Every answer today is a familiar three-word phrase or title in which the first and last words are the same. I'll give you the middle word (and a clue, if necessary). You tell me the phrase.	THINGS — Phrase suggesting priority	Food Glorious Food	Bond, James Bond	first things first	Spy vs. Spy, or Kramer vs. Kramer	2
OTHER	Every answer today is a familiar three-word phrase or title in which the first and last words are the same. I'll give you the middle word (and a clue, if necessary). You tell me the phrase.	EAT — cutthroat	Food Glorious Food	never say never	dog eat dog	drill baby drill	2
OTHER	Every answer today is a familiar three-word phrase or title in which the first and last words are the same. I'll give you the middle word (and a clue, if necessary). You tell me the phrase.	SWEET — What you say after returning from a long trip	Food Glorious Food	Oklahoma City, Oklahoma	Spy vs. Spy, or Kramer vs. Kramer	home sweet home	3
OTHER	Every answer today is a familiar three-word phrase or title in which the first and last words are the same. I'll give you the middle word (and a clue, if necessary). You tell me the phrase.	AGAINST — Not give up despite impossible odds	no means no	hope against hope	home sweet home	drill baby drill	1
OTHER	Every answer today is a familiar three-word phrase or title in which the first and last words are the same. I'll give you the middle word (and a clue, if necessary). You tell me the phrase.	MEANS — an emphatic refusal	no means no	Spy vs. Spy, or Kramer vs. Kramer	first things first	Oklahoma City, Oklahoma	0
OTHER	Every answer today is a familiar three-word phrase or title in which the first and last words are the same. I'll give you the middle word (and a clue, if necessary). You tell me the phrase.	VERSUS — a classic feature of Mad magazine	one thousand one	Spy vs. Spy, or Kramer vs. Kramer	Food Glorious Food	Bond, James Bond	1
OTHER	Every answer today is a familiar three-word phrase or title in which the first and last words are the same. I'll give you the middle word (and a clue, if necessary). You tell me the phrase.	SAY — Don't give up, there's always a possibility	dog eat dog	no means no	never say never	Sunday Bloody Sunday	2
OTHER	Every answer today is a familiar three-word phrase or title in which the first and last words are the same. I'll give you the middle word (and a clue, if necessary). You tell me the phrase.	BABY — Catchphrase said by Sarah Palin at the 2008 Republican National Convention	one thousand one	dog eat dog	drill baby drill	Sunday Bloody Sunday	2
OTHER	Every answer today is a familiar three-word phrase or title in which the first and last words are the same. I'll give you the middle word (and a clue, if necessary). You tell me the phrase.	"THOUSAND — The number of """"Arabian Nights"""""	one thousand one	first things first	home sweet home	drill baby drill	0
OTHER	Every answer today is a familiar three-word phrase or title in which the first and last words are the same. I'll give you the middle word (and a clue, if necessary). You tell me the phrase.	CITY — State capital north of Austin, Texas	drill baby drill	sorry, not sorry	dog eat dog	Oklahoma City, Oklahoma	3
OTHER	Every answer today is a familiar three-word phrase or title in which the first and last words are the same. I'll give you the middle word (and a clue, if necessary). You tell me the phrase.	"GLORIOUS — Song from """"Oliver!"""" with the lyric """"Just picture a great big steak / Fried, roasted, or stewed"""""	first things first	sorry, not sorry	Sunday Bloody Sunday	Food Glorious Food	3
OTHER	Every answer today is a familiar three-word phrase or title in which the first and last words are the same. I'll give you the middle word (and a clue, if necessary). You tell me the phrase.	BLOODY — 1971 film with Glenda Jackson and Peter Finch	hope against hope	one thousand one	Sunday Bloody Sunday	first things first	2
OTHER	Every answer today is a familiar three-word phrase or title in which the first and last words are the same. I'll give you the middle word (and a clue, if necessary). You tell me the phrase.	JAMES — 007's introduction	Bond, James Bond	Sunday Bloody Sunday	hope against hope	Spy vs. Spy, or Kramer vs. Kramer	0
OTHER	Every answer today is a familiar three-word phrase or title in which the first and last words are the same. I'll give you the middle word (and a clue, if necessary). You tell me the phrase.	NOT — Faux apology 	Bond, James Bond	drill baby drill	sorry, not sorry	no means no	2
OTHER	"This is my annual """"New Names in the News Quiz."""" I'll name some people and things you had probably never heard of until 2017 but that sprang to prominence during the past 12 months. You tell me who or what they are.1. Doug Jones 2. Gal Gadot3. Anthony Scaramucci4. Jack Phillips5. Emmerson Mnangagwa6. Tom Steyer7. Salvator Mundi"	Doug Jones	Billionaire activist who has spent millions of dollars in a campaign to impeach President Trump	Democratic upset winner in Alabama who ran against Roy Moore in a special election for Jeff Sessions' seat in the Senate	Israeli actress who starred as Wonder Woman	New president of Zimbabwe, successor to Robert Mugabe	1
OTHER	"This is my annual """"New Names in the News Quiz."""" I'll name some people and things you had probably never heard of until 2017 but that sprang to prominence during the past 12 months. You tell me who or what they are.1. Doug Jones 2. Gal Gadot3. Anthony Scaramucci4. Jack Phillips5. Emmerson Mnangagwa6. Tom Steyer7. Salvator Mundi"	Gal Gadot	Colorado baker who refused to bake a wedding cake for a gay couple; his case is now before the Supreme Court	Billionaire activist who has spent millions of dollars in a campaign to impeach President Trump	President Trump's communications director for just 10 days	Israeli actress who starred as Wonder Woman	3
OTHER	"This is my annual """"New Names in the News Quiz."""" I'll name some people and things you had probably never heard of until 2017 but that sprang to prominence during the past 12 months. You tell me who or what they are.1. Doug Jones 2. Gal Gadot3. Anthony Scaramucci4. Jack Phillips5. Emmerson Mnangagwa6. Tom Steyer7. Salvator Mundi"	Anthony Scaramucci	Israeli actress who starred as Wonder Woman	Painting by Leonardo da Vinci that sold at Christie's for a record $450.3 million	Billionaire activist who has spent millions of dollars in a campaign to impeach President Trump	President Trump's communications director for just 10 days	3
OTHER	"This is my annual """"New Names in the News Quiz."""" I'll name some people and things you had probably never heard of until 2017 but that sprang to prominence during the past 12 months. You tell me who or what they are.1. Doug Jones 2. Gal Gadot3. Anthony Scaramucci4. Jack Phillips5. Emmerson Mnangagwa6. Tom Steyer7. Salvator Mundi"	Jack Phillips	Israeli actress who starred as Wonder Woman	Billionaire activist who has spent millions of dollars in a campaign to impeach President Trump	Colorado baker who refused to bake a wedding cake for a gay couple; his case is now before the Supreme Court	New president of Zimbabwe, successor to Robert Mugabe	2
OTHER	"This is my annual """"New Names in the News Quiz."""" I'll name some people and things you had probably never heard of until 2017 but that sprang to prominence during the past 12 months. You tell me who or what they are.1. Doug Jones 2. Gal Gadot3. Anthony Scaramucci4. Jack Phillips5. Emmerson Mnangagwa6. Tom Steyer7. Salvator Mundi"	Emmerson Mnangagwa	New president of Zimbabwe, successor to Robert Mugabe	Painting by Leonardo da Vinci that sold at Christie's for a record $450.3 million	Billionaire activist who has spent millions of dollars in a campaign to impeach President Trump	Colorado baker who refused to bake a wedding cake for a gay couple; his case is now before the Supreme Court	0
OTHER	"This is my annual """"New Names in the News Quiz."""" I'll name some people and things you had probably never heard of until 2017 but that sprang to prominence during the past 12 months. You tell me who or what they are.1. Doug Jones 2. Gal Gadot3. Anthony Scaramucci4. Jack Phillips5. Emmerson Mnangagwa6. Tom Steyer7. Salvator Mundi"	Tom Steyer	Colorado baker who refused to bake a wedding cake for a gay couple; his case is now before the Supreme Court	Democratic upset winner in Alabama who ran against Roy Moore in a special election for Jeff Sessions' seat in the Senate	Israeli actress who starred as Wonder Woman	Billionaire activist who has spent millions of dollars in a campaign to impeach President Trump	3
OTHER	"This is my annual """"New Names in the News Quiz."""" I'll name some people and things you had probably never heard of until 2017 but that sprang to prominence during the past 12 months. You tell me who or what they are.1. Doug Jones 2. Gal Gadot3. Anthony Scaramucci4. Jack Phillips5. Emmerson Mnangagwa6. Tom Steyer7. Salvator Mundi"	Salvator Mundi	Billionaire activist who has spent millions of dollars in a campaign to impeach President Trump	Painting by Leonardo da Vinci that sold at Christie's for a record $450.3 million	New president of Zimbabwe, successor to Robert Mugabe	Democratic upset winner in Alabama who ran against Roy Moore in a special election for Jeff Sessions' seat in the Senate	1
SOUND	"This week's on-air puzzle is similar to last week's, only a little harder. Every answer is the name of a country. For each word given, ignore the vowels. The consonants, in order from left to right, are the same consonants in the same order as in the country. For example, given the word """"omelet,"""" the answer is """"Malta."""""	supine	Spain	Iceland	Australia	Russia	0
SOUND	"This week's on-air puzzle is similar to last week's, only a little harder. Every answer is the name of a country. For each word given, ignore the vowels. The consonants, in order from left to right, are the same consonants in the same order as in the country. For example, given the word """"omelet,"""" the answer is """"Malta."""""	climb	Honduras	Russia	Spain	Colombia	3
SOUND	"This week's on-air puzzle is similar to last week's, only a little harder. Every answer is the name of a country. For each word given, ignore the vowels. The consonants, in order from left to right, are the same consonants in the same order as in the country. For example, given the word """"omelet,"""" the answer is """"Malta."""""	hinders	Honduras	Argentina	Colombia	Russia	0
SOUND	"This week's on-air puzzle is similar to last week's, only a little harder. Every answer is the name of a country. For each word given, ignore the vowels. The consonants, in order from left to right, are the same consonants in the same order as in the country. For example, given the word """"omelet,"""" the answer is """"Malta."""""	rouses	Russia	Sri Lanka	Nicaragua	Somolia	0
SOUND	"This week's on-air puzzle is similar to last week's, only a little harder. Every answer is the name of a country. For each word given, ignore the vowels. The consonants, in order from left to right, are the same consonants in the same order as in the country. For example, given the word """"omelet,"""" the answer is """"Malta."""""	encourage	Russia	Iceland	Argentina	Nicaragua	3
SOUND	"This week's on-air puzzle is similar to last week's, only a little harder. Every answer is the name of a country. For each word given, ignore the vowels. The consonants, in order from left to right, are the same consonants in the same order as in the country. For example, given the word """"omelet,"""" the answer is """"Malta."""""	cloned	Somolia	Sri Lanka	Nicaragua	Iceland	3
SOUND	"This week's on-air puzzle is similar to last week's, only a little harder. Every answer is the name of a country. For each word given, ignore the vowels. The consonants, in order from left to right, are the same consonants in the same order as in the country. For example, given the word """"omelet,"""" the answer is """"Malta."""""	smile	Spain	Nicaragua	Somolia	Russia	2
SOUND	"This week's on-air puzzle is similar to last week's, only a little harder. Every answer is the name of a country. For each word given, ignore the vowels. The consonants, in order from left to right, are the same consonants in the same order as in the country. For example, given the word """"omelet,"""" the answer is """"Malta."""""	userlink	Australia	Iceland	Sri Lanka	Honduras	2
SOUND	"This week's on-air puzzle is similar to last week's, only a little harder. Every answer is the name of a country. For each word given, ignore the vowels. The consonants, in order from left to right, are the same consonants in the same order as in the country. For example, given the word """"omelet,"""" the answer is """"Malta."""""	origination	Argentina	Iceland	Russia	Spain	0
SOUND	"This week's on-air puzzle is similar to last week's, only a little harder. Every answer is the name of a country. For each word given, ignore the vowels. The consonants, in order from left to right, are the same consonants in the same order as in the country. For example, given the word """"omelet,"""" the answer is """"Malta."""""	sterile	Sri Lanka	Nicaragua	Australia	Somolia	2
WORDPLAY	"Every answer is a made-up, two-word phrase in which the first word has seven letters. Drop its first and last letters to get a five-letter word that is the second part of the phrase. For example: Bottled water from France that is not normal is """"deviant Evian."""""	opposed to profits	lotsa flotsam	against gains	opaline Palin	Paisley aisle	1
WORDPLAY	"Every answer is a made-up, two-word phrase in which the first word has seven letters. Drop its first and last letters to get a five-letter word that is the second part of the phrase. For example: Bottled water from France that is not normal is """"deviant Evian."""""	catch sight of slight hobbles	glimpse limps	opaline Palin	lotsa flotsam	Paisley aisle	0
WORDPLAY	"Every answer is a made-up, two-word phrase in which the first word has seven letters. Drop its first and last letters to get a five-letter word that is the second part of the phrase. For example: Bottled water from France that is not normal is """"deviant Evian."""""	former Alaska governor with a milky white hue	opaline Palin	lotsa flotsam	glimpse limps	Paisley aisle	0
WORDPLAY	"Every answer is a made-up, two-word phrase in which the first word has seven letters. Drop its first and last letters to get a five-letter word that is the second part of the phrase. For example: Bottled water from France that is not normal is """"deviant Evian."""""	narrow walkway covered with a colorful curvy shirt pattern	lotsa flotsam	against gains	Paisley aisle	glimpse limps	2
WORDPLAY	"Every answer is a made-up, two-word phrase in which the first word has seven letters. Drop its first and last letters to get a five-letter word that is the second part of the phrase. For example: Bottled water from France that is not normal is """"deviant Evian."""""	great deal of wreckage from a ship (5-letter word comes first this time)	lotsa flotsam	opaline Palin	against gains	glimpse limps	0
OTHER	These are some business-related puzzles made for the New York Times' DealBook conference in New York last Thursday. Every answer is the name of a Fortune 200 company — that is, one of the top 200 corporations according to the 2014 list in Fortune magazine.	What company’s name is appropriately inside the phrase METAL COATING?	Alcoa	Johnson & Johnson	eBay	Eli Lilly	0
OTHER	These are some business-related puzzles made for the New York Times' DealBook conference in New York last Thursday. Every answer is the name of a Fortune 200 company — that is, one of the top 200 corporations according to the 2014 list in Fortune magazine.	What company’s name is an anagram of ICE POPS?	Johnson & Johnson	Eli Lilly	Alcoa	PepsiCo	3
OTHER	These are some business-related puzzles made for the New York Times' DealBook conference in New York last Thursday. Every answer is the name of a Fortune 200 company — that is, one of the top 200 corporations according to the 2014 list in Fortune magazine.	What company’s name consists of 8 letters, 4 of which are L’s?	Boeing (making boxing)	Eli Lilly	Alcoa	Johnson & Johnson	1
OTHER	These are some business-related puzzles made for the New York Times' DealBook conference in New York last Thursday. Every answer is the name of a Fortune 200 company — that is, one of the top 200 corporations according to the 2014 list in Fortune magazine.	What company’s name becomes the name of an Olympic sport if you change the third letter to an X?	Eli Lilly	eBay	Alcoa	Boeing (making boxing)	3
OTHER	These are some business-related puzzles made for the New York Times' DealBook conference in New York last Thursday. Every answer is the name of a Fortune 200 company — that is, one of the top 200 corporations according to the 2014 list in Fortune magazine.	What company’s name is pig Latin for an insect?	Alcoa	Johnson & Johnson	Boeing (making boxing)	eBay	3
OTHER	These are some business-related puzzles made for the New York Times' DealBook conference in New York last Thursday. Every answer is the name of a Fortune 200 company — that is, one of the top 200 corporations according to the 2014 list in Fortune magazine.	What company’s name consists of the names of two presidents’ names? (a tricky clue)	PepsiCo	Johnson & Johnson	Boeing (making boxing)	eBay	1
OTHER	Today’s on-air puzzle is called, Now You Know Them.	Rob Ford	NSA whistleblower	President Obama’s nominee to be the new Chairman of the Federal Reserve Board	Baby of Kim Kardashian and Kanye West	mayor of Toronto who admitted using crack cocaine	3
OTHER	Today’s on-air puzzle is called, Now You Know Them.	Edward Snowden	Baby of Kim Kardashian and Kanye West	the Obama’s new dog	NSA whistleblower	new world chess champion	2
OTHER	Today’s on-air puzzle is called, Now You Know Them.	George Alexander Louis Windsor	new world chess champion	Royal baby born to Prince William and Duchess Catherine	the Obama’s new dog	President Obama’s nominee to be the new Chairman of the Federal Reserve Board	1
OTHER	Today’s on-air puzzle is called, Now You Know Them.	North West	mayor of Toronto who admitted using crack cocaine	Royal baby born to Prince William and Duchess Catherine	President Obama’s nominee to be the new Chairman of the Federal Reserve Board	Baby of Kim Kardashian and Kanye West	3
OTHER	Today’s on-air puzzle is called, Now You Know Them.	Hassan Rouhani	Baby of Kim Kardashian and Kanye West	New president of Iran, regarded as a moderate	Royal baby born to Prince William and Duchess Catherine	mayor of Toronto who admitted using crack cocaine	1
OTHER	Today’s on-air puzzle is called, Now You Know Them.	Janet Yellen	NSA whistleblower	Baby of Kim Kardashian and Kanye West	President Obama’s nominee to be the new Chairman of the Federal Reserve Board	New president of Iran, regarded as a moderate	2
OTHER	Today’s on-air puzzle is called, Now You Know Them.	Magnus Carlsen	the Obama’s new dog	NSA whistleblower	Royal baby born to Prince William and Duchess Catherine	new world chess champion	3
OTHER	Today’s on-air puzzle is called, Now You Know Them.	Sunny	Royal baby born to Prince William and Duchess Catherine	New president of Iran, regarded as a moderate	President Obama’s nominee to be the new Chairman of the Federal Reserve Board	the Obama’s new dog	3
I.E	"Three words that start with the same letter will be presented in a group. Find a word that shares the same first letter as the three, and that can follow each word within the group to complete a compound word or a familiar two-word phrase. Example: """"big,"""" """"broad,"""" """"boy""""; the answer would be """"band"""" to get """"big band,"""" """"broadband"""" and """"boy band."""""	calling, credit and Christmas	car	eye	card	fight	2
I.E	"Three words that start with the same letter will be presented in a group. Find a word that shares the same first letter as the three, and that can follow each word within the group to complete a compound word or a familiar two-word phrase. Example: """"big,"""" """"broad,"""" """"boy""""; the answer would be """"band"""" to get """"big band,"""" """"broadband"""" and """"boy band."""""	cable, cattle and company	eye	game	car	pan	2
I.E	"Three words that start with the same letter will be presented in a group. Find a word that shares the same first letter as the three, and that can follow each word within the group to complete a compound word or a familiar two-word phrase. Example: """"big,"""" """"broad,"""" """"boy""""; the answer would be """"band"""" to get """"big band,"""" """"broadband"""" and """"boy band."""""	electric, eagle and evil	card	fight	eye	game	2
I.E	"Three words that start with the same letter will be presented in a group. Find a word that shares the same first letter as the three, and that can follow each word within the group to complete a compound word or a familiar two-word phrase. Example: """"big,"""" """"broad,"""" """"boy""""; the answer would be """"band"""" to get """"big band,"""" """"broadband"""" and """"boy band."""""	fist, fire and food	top	fight	game	pan	1
I.E	"Three words that start with the same letter will be presented in a group. Find a word that shares the same first letter as the three, and that can follow each word within the group to complete a compound word or a familiar two-word phrase. Example: """"big,"""" """"broad,"""" """"boy""""; the answer would be """"band"""" to get """"big band,"""" """"broadband"""" and """"boy band."""""	guessing, golf and ground	game	eye	pan	card	0
I.E	"Three words that start with the same letter will be presented in a group. Find a word that shares the same first letter as the three, and that can follow each word within the group to complete a compound word or a familiar two-word phrase. Example: """"big,"""" """"broad,"""" """"boy""""; the answer would be """"band"""" to get """"big band,"""" """"broadband"""" and """"boy band."""""	pie, pizza and Peter	pan	eye	fight	top	0
I.E	"Three words that start with the same letter will be presented in a group. Find a word that shares the same first letter as the three, and that can follow each word within the group to complete a compound word or a familiar two-word phrase. Example: """"big,"""" """"broad,"""" """"boy""""; the answer would be """"band"""" to get """"big band,"""" """"broadband"""" and """"boy band."""""	table, tank and tree	pan	eye	top	fight	2
SOUND	Every answer is a word, name or phrase in which the only consonants are T and P, repeated as often as necessary.	Something Idaho is famous for producing	Taipei	toupee	putt-putt	potato	3
SOUND	Every answer is a word, name or phrase in which the only consonants are T and P, repeated as often as necessary.	Small, as in women’s dress sizes	pit-a-pat	putt-putt	petite	output	2
SOUND	Every answer is a word, name or phrase in which the only consonants are T and P, repeated as often as necessary.	to proceed very quitely	pit-a-pat	opiate	toupee	tiptoe	3
SOUND	Every answer is a word, name or phrase in which the only consonants are T and P, repeated as often as necessary.	a baked entree usually with meat and vegetables	opiate	teapot	potpie	Taipei	2
